Mood,Title,Content
happy,We're Going to Be Friends,https://www.youtube.com/watch?v=PKfD8d3XJok
happy,First Day of My Life,https://www.youtube.com/watch?v=zwFS69nA-1w
happy,You Give Me Something,https://www.youtube.com/watch?v=UZp6dhheriM
happy,I'm Yours,https://www.youtube.com/watch?v=EkHTsc9PU2A
happy,Follow the Arrow,https://www.youtube.com/watch?v=SgRugwYuCjY
happy,Save Tonight,https://www.youtube.com/watch?v=TnEdUVBjZfo
happy,The Remedy (I Won't Worry),https://www.youtube.com/watch?v=BW17WAwMcoQ
happy,Life Is Wonderful,https://www.youtube.com/watch?v=7l74d1fmZbw
happy,New Slang,https://www.youtube.com/watch?v=zYwCmcB0XMw
happy,Steal My Kisses,https://www.youtube.com/watch?v=BSTBs3IEVQs
happy,All Summer Long,https://www.youtube.com/watch?v=uwIGZLjugKA
happy,Flowers on the Wall,https://www.youtube.com/watch?v=Bg1di8sGxWc
happy,Fearless,https://www.youtube.com/watch?v=ptSjNWnzpjg
happy,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
happy,Our Song,https://www.youtube.com/watch?v=Jb2stN7kH28
happy,Travelin' Soldier,https://www.youtube.com/watch?v=H3b1AQFsPcc
happy,All Summer Long,https://www.youtube.com/watch?v=uwIGZLjugKA
happy,Flowers on the Wall,https://www.youtube.com/watch?v=Bg1di8sGxWc
happy,Fearless,https://www.youtube.com/watch?v=ptSjNWnzpjg
happy,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
happy,Love at First Sight,https://www.youtube.com/watch?v=wf421JsG004
happy,Dragostea Din Tei,https://www.youtube.com/watch?v=YnopHCL1Jk8
happy,Love Shack,https://www.youtube.com/watch?v=9SOryJvTAGs
happy,Wouldn't It Be Nice,https://www.youtube.com/watch?v=lD4sxxoJGkA
happy,Upside Down,https://www.youtube.com/watch?v=4GtyMeEcPPE
happy,Somebody Told Me,https://www.youtube.com/watch?v=Y5fBdpreJiU
happy,Down Under,https://www.youtube.com/watch?v=XfR9iY5y94s
happy,Save Tonight,https://www.youtube.com/watch?v=TnEdUVBjZfo
happy,You Can Call Me Al,https://www.youtube.com/watch?v=uq-gYOrU8bA
happy,Wonderful World,https://www.youtube.com/watch?v=OuoaKai_L00
in-love,Heart of Gold,https://www.youtube.com/watch?v=X3IA6pIVank
in-love,Fake Plastic Trees,https://www.youtube.com/watch?v=n5h0qHwNrHk
in-love,Please Forgive Me,https://www.youtube.com/watch?v=VsDMjet0fyo
in-love,Anyone Else But You,https://www.youtube.com/watch?v=ceV62E-c86g
in-love,Better Together,https://www.youtube.com/watch?v=seZMOTGCDag
in-love,Falling In Love At A Coffee Shop,https://www.youtube.com/watch?v=kLfjhSmvFjM
in-love,First Day of My Life,https://www.youtube.com/watch?v=zwFS69nA-1w
in-love,Volcano,https://www.youtube.com/watch?v=ZduDvIBu3EU
in-love,Naked As We Came,https://www.youtube.com/watch?v=F9CUO8lfNjI
in-love,Mad World,https://www.youtube.com/watch?v=hRVngvIHxAA
in-love,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
in-love,Enchanted,https://www.youtube.com/watch?v=vv3um0BlygY
in-love,Ring of Fire,https://www.youtube.com/watch?v=It7107ELQvY
in-love,Need You Now,https://www.youtube.com/watch?v=eM213aMKTHg
in-love,My Blue Angel,https://www.youtube.com/watch?v=0TZco6I5f_o
in-love,I Walk the Line,https://www.youtube.com/watch?v=xObSJWIWui0
in-love,I'm Already There,https://www.youtube.com/watch?v=HvXgubO35fM
in-love,Travelin' Soldier,https://www.youtube.com/watch?v=H3b1AQFsPcc
in-love,Bellingham  Wind,https://www.youtube.com/watch?v=l_q-cI1z1wQ
in-love,In the Lobby,https://www.youtube.com/watch?v=Vs3eZS69Tqo
in-love,Littlest Things,https://www.youtube.com/watch?v=gw9wE1nutc4
in-love,I Knew I Loved You,https://www.youtube.com/watch?v=jjnmICxvoVY
in-love,Angel,https://www.youtube.com/watch?v=i1GmxMTwUgs
in-love,Here Comes The Rain Again,https://www.youtube.com/watch?v=TzFnYcIqj6I
in-love,Somebody Told Me,https://www.youtube.com/watch?v=Y5fBdpreJiU
in-love,Your Body Is a Wonderland,https://www.youtube.com/watch?v=N5EnGwXV_Pg
in-love,Save Tonight,https://www.youtube.com/watch?v=TnEdUVBjZfo
in-love,Back to Black,https://www.youtube.com/watch?v=TJAfLE39ZZ8
in-love,A Little Respect,https://www.youtube.com/watch?v=x34icYC8zA0
in-love,Dynamite,https://www.youtube.com/watch?v=Vysgv7qVYTo
relax,The Blowers Daughter,https://www.youtube.com/watch?v=5YXVMCHG-Nk
relax,Times Like These,https://www.youtube.com/watch?v=7TTztEeL7Yg
relax,Daughters,https://www.youtube.com/watch?v=rZLbUIa7exE
relax,Bubbly,https://www.youtube.com/watch?v=AWGqoCNbsvM
relax,Pink Moon,https://www.youtube.com/watch?v=aXnfhnCoOyo
relax,No Other Way,https://www.youtube.com/watch?v=b8vl_-yXNDM
relax,Other Side of the World,https://www.youtube.com/watch?v=YUpbO-mpi74
relax,Drive,https://www.youtube.com/watch?v=fgT9zGkiLig
relax,Homesick,https://www.youtube.com/watch?v=7o2aHHilImM
relax,Waiting On an Angel,https://www.youtube.com/watch?v=dtUvBc_uVvQ
relax,Travelin' Soldier,https://www.youtube.com/watch?v=H3b1AQFsPcc
relax,Life for Rent,https://www.youtube.com/watch?v=OFtNChII78k
relax,Somewhere Only We Know,https://www.youtube.com/watch?v=Oextk-If8HQ
relax,4 in the Morning,https://www.youtube.com/watch?v=_OLUSELxFok
relax,I'm No Angel,https://www.youtube.com/watch?v=BjVRod8Durc
relax,Careless Whisper,https://www.youtube.com/watch?v=izGwDsrQ1eQ
relax,Railways,https://www.youtube.com/watch?v=1GezTDIb52Q
relax,Holding Back The Years,https://www.youtube.com/watch?v=yG07WSu7Q9w
relax,Desert Rose,https://www.youtube.com/watch?v=C3lWwBslWqg
relax,Angel,https://www.youtube.com/watch?v=i1GmxMTwUgs
relax,Don't Leave Home,https://www.youtube.com/watch?v=YcALX-IN6gU
romantic,Valse mortuary,https://www.youtube.com/watch?v=a5jq3EOb5yc
romantic,Fake Plastic Trees,https://www.youtube.com/watch?v=n5h0qHwNrHk
romantic,Your Body Is a Wonderland,https://www.youtube.com/watch?v=N5EnGwXV_Pg
romantic,You and Me,https://www.youtube.com/watch?v=ac3HkriqdGQ
romantic,The Closest Thing to Crazy,https://www.youtube.com/watch?v=C-BnRZ52jHs
romantic,Tears in Heaven,https://www.youtube.com/watch?v=JxPj3GAYYZ0
romantic,I'm Yours,https://www.youtube.com/watch?v=EkHTsc9PU2A
romantic,Halfworld,https://www.youtube.com/watch?v=wYq8hfYVUcI
romantic,Please Forgive Me,https://www.youtube.com/watch?v=VsDMjet0fyo
romantic,the Centralword,https://www.youtube.com/watch?v=5Jy8NDShFxg
romantic,Annie's Song,https://www.youtube.com/watch?v=Jk-blXQjN-8
romantic,She Believes In Me,https://www.youtube.com/watch?v=8uBmu1vdQEY
romantic,My Blue Angel,https://www.youtube.com/watch?v=0TZco6I5f_o
romantic,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
romantic,There You'll Be,https://www.youtube.com/watch?v=BY6CypdXhEo
romantic,What Hurts the Most,https://www.youtube.com/watch?v=LcM9ElA1VHk
romantic,Love Story,https://www.youtube.com/watch?v=8xg3vE8Ie_E
romantic,Breathe,https://www.youtube.com/watch?v=yCmsZUN4r_s
romantic,You're Still the One,https://www.youtube.com/watch?v=KNZH-emehxA
romantic,This Is the Life,https://www.youtube.com/watch?v=iRYvuS9OxdA
romantic,Against All Odds,https://www.youtube.com/watch?v=uVjEcIANv1o
romantic,The Lady in Red,https://www.youtube.com/watch?v=iFcuN2zI3u0
romantic,Heart of Glass,https://www.youtube.com/watch?v=WGU_4-5RaxU
romantic,Ordinary World,https://www.youtube.com/watch?v=FqIACCH20JU
romantic,Because You Loved Me,https://www.youtube.com/watch?v=VTxnqUhhlIY
romantic,Lovely World Dies - Live,https://www.youtube.com/watch?v=-deDeBwCl3k
romantic,Tainted Love,https://www.youtube.com/watch?v=XZVpR3Pk-r8
